Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
MDW,Midway Gold Corporation,1.19,135646910,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mdw
MGH,Minco Gold Corporation,0.52,26180960,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mgh
MGN,"Mines Management, Inc.",1.48,42829720,n/a,1985,n/a,n/a,http://www.nasdaq.com/symbol/mgn
MXA,Minnesota Municipal Income Portfolio Inc.,17.27,71618690,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mxa
MDM,Mountain Province Diamonds Inc.,4.71,379842660,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdm
MVF,"MuniVest Fund, Inc.",10.62,669952080,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mvf
MZA,"MuniYield Arizona Fund, Inc.",14.54,66360560,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mza
NHC,National HealthCare Corporation,42.9,599870700,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/nhc
NHC^A,National HealthCare Corporation,15,162615000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nhc^a
NAVB,"Navidea Biopharmaceuticals, Inc.",2.87,274062040,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/navb
NBS,"Neostem, Inc.",0.37,42308760,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/nbs
NBS/WS,"Neostem, Inc.",0.03,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbs/ws
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,16.26,89576340,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbw
NHS,Neuberger Berman High Yield Strategies Fund,13.8,169119000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nhs
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,16.44,307033440,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbh
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,15.25,76966750,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbo
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",4.32,253687680,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/nro
CUR,"Neuralstem, Inc.",0.97,52472150,n/a,1973,n/a,n/a,http://www.nasdaq.com/symbol/cur
UWN,"Nevada Gold & Casinos, Inc.",1.18,18754920,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/uwn
NSU,Nevsun Resources Ltd,3.25,650828750,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nsu
GBR,"New Concept Energy, Inc",1.34,2608980,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gbr
NEWN,New Energy Systems Group.,0.52,7567040,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/newn
NEN,New England Realty Associates Limited Partnership,27.95,2934750,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/nen
NGD,NEW GOLD INC.,8,3690864000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ngd
PAL,"North American Palladium, Ltd.",2.56,416898560,n/a,2000,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/pal
NAK,"Northern Dynasty Minerals, Ltd.",4.26,404610540,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nak
NOG,"Northern Oil and Gas, Inc.",18.59,1180632310,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nog
NBY,"NovaBay Pharmaceuticals, Inc.",1.17,33860970,n/a,2007,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nby
NCQ,NovaCopper Inc.,3.1,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ncq
NG,Novagold Resources Inc New,5.41,1298313440,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ng
NTN,"NTN Buzztime, Inc.",0.235,16684530,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ntn
NLP,NTS Realty Holdings Limited Partnership,3.28,36391600,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nlp
NTS,"NTS, Inc.",0.485,19975695,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nts
NEA,Nuveen AMT-Free Municipal Income Fund,14.92,331835720,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nea
NFZ,Nuveen Arizona Dividend Advantage Municipal Fund,14.6001,22600954.8,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nfz
NFZ^C,Nuveen Arizona Dividend Advantage Municipal Fund,10.09,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nfz^c
NKR,Nuveen Arizona Dividend Advantage Municipal Fund 2,14.84,36209600,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nkr
NXE,Nuveen Arizona Dividend Advantage Municipal Fund 3,14.2,43537200,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nxe
NKX,Nuveen California AMT-Free Municipal Income Fund,14.6999,86538311.3,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nkx
NVX,Nuveen California Dividend Advantage Municipal Fund 2,15.45,227841150,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nvx
NZH,Nuveen California Dividend Advantage Municipal Fund 3,14.19,342376320,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzh
NCB,Nuveen California Municipal Value Fund 2,16.4,53923200,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ncb
NCU,Nuveen California Premium Income Municipal Fund,15.23,87283130,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/ncu
NFC,Nuveen Connecticut Dividend Advantage Municipal Fund,14.85,38402100,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nfc
