Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
BKEP,"Blueknight Energy Partners L.P., L.L.C.",7.1,160886000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bkep
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",8.77,263108770,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bkepp
BPHX,"BluePhoenix Solutions, Ltd.",2,12912000,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bphx
BMC,"BMC Software, Inc.",40.4,6634770800,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bmc
BNCN,BNC Bancorp,7.7,69962200,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bncn
BOBE,"Bob Evans Farms, Inc.",38.76,1140009120,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bobe
BODY,Body Central Corp.,14.92,238779680,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/body
BOFI,"BofI Holding, Inc.",18.82,214962040,n/a,2005,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofi
WIFI,"Boingo Wireless, Inc.",9.93,329606490,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wifi
BOKF,BOK Financial Corporation,57.34,3996655340,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf
BOLT,Bolt Technology Corporation,12.27,105239790,n/a,1981,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/bolt
BONA,Bona Film Group Limited,5.979,363553095,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/bona
BNSO,"Bonso Electronics International, Inc.",1.28,7139840,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bnso
BAMM,"Books-A-Million, Inc.",3.12,49330320,n/a,1992,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/bamm
BPFH,"Boston Private Financial Holdings, Inc.",9.17,715470910,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfh
BPFHW,"Boston Private Financial Holdings, Inc.",3.96,11436480,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bpfhw
EPAY,"Bottomline Technologies, Inc.",19.08,691268400,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
BBRG,"Bravo Brio Restaurant Group, Inc.",18.74,364305600,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/bbrg
BBEP,"BreitBurn Energy Partners, L.P.",17.31,1196882640,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bbep
BDGE,"Bridge Bancorp, Inc.",19.32,163717680,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bdge
BBNK,Bridge Capital Holdings,15.18,229597500,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbnk
BLIN          ,"Bridgeline Digital, Inc.",1.43,17836390,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin          
BRID,Bridgford Foods Corporation,8.78,80837460,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/brid
BCOV,Brightcove Inc.,15.25,414708500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcov
CELL,"Brightpoint, Inc.",5.66,390273980,n/a,1994,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cell
BKBK,Britton & Koontz Capital Corporation,7.9999,17103786.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkbk
BRCM,Broadcom Corporation,33.79,16624680000,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/brcm
BSFT,"BroadSoft, Inc.",29.8,805792000,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/bsft
BVSN,"BroadVision, Inc.",15.84,71533440,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
BYFC,Broadway Financial Corporation,1.37,2390650,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/byfc
BWEN,"Broadwind Energy, Inc.",0.3771,52693691.4,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/bwen
BRCD,"Brocade Communications Systems, Inc.",5.025,2305022775,n/a,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/brcd
BRKL,"Brookline Bancorp, Inc.",9.02,633330280,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/brkl
BRKS,"Brooks Automation, Inc.",10.36,686370720,n/a,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks
